conv_id,fact_id,page_title,page_type,session_index,date_label,cited_dia_ids,fact,verdict,misattribution,reason,human_verdict,human_misattribution
conv-26,adoption-research#6,Adoption research,topic,8,"15 July, 2023",D8:9,Caroline attended a council meeting for adoption last Friday,supported,0,Turn [D8:9] clearly states Caroline attended a council meeting for adoption last Friday.,,
conv-26,melanie#2,Melanie,person,3,"9 June, 2023",D3:16,Melanie has been married for 5 years.,supported,0,Turn D3:16 clearly states Melanie has been married for 5 years.,,
conv-41,travel#11,Travel,event,19,"16 June, 2023",D19:24,John shared a photo of two children playing in the ocean waves from a family vacation.,supported,0,Turn D19:24 clearly states John shared a photo of two children playing in the ocean waves from a vacation.,,
conv-47,charity-event#12,Charity event,event,15,"19 June, 2022",D15:15,"James said no interview is necessary to volunteer, just a friendly and polite attitude and a desire to help people.",supported,0,"Turn [D15:15] clearly states James said no interview is necessary, just a friendly and polite attitude and a desire to help people.",,
conv-41,john#63,John,person,26,"31 July, 2023",D26:10,"John feels a strong bond with his fire brigade team, similar to his time in the military.",supported,0,Turn D26:10 explicitly states John feels a bond with his fire brigade team similar to his military experience.,,
conv-48,gardening#1,Gardening,event,29,"17 September, 2023",D29:1,Deborah and her neighbor ran a free gardening class for the community on 16 September 2023.,supported,0,"Turn [D29:1] clearly states Deborah and her neighbor ran a free gardening class yesterday, matching the entry's date and details.",,
conv-30,dance-competition#4,Dance competition,event,8,"3 April, 2023",D8:16,Gina is excited to attend Jon's dance competition event next month.,partially,0,Turn D8:16 shows Gina's interest in joining and supporting the event but does not explicitly state she is excited to attend; that is confirmed in later turns.,,
conv-42,video-game-tournament#24,Video game tournament,event,26,"4 November, 2022",D26:12,Nate has been helping friends reset their high scores at an international video game tournament.,supported,0,Turn D26:12 clearly states Nate has been helping friends reset their high scores at an international tournament.,,
conv-44,audrey#26,Audrey,person,15,"16 August, 2023",D15:1,Audrey's four dogs mean a lot to her.,supported,0,Turn D15:1 explicitly states Audrey's four dogs mean a lot to her.,,
conv-30,clothing-store#22,Clothing store,topic,8,"3 April, 2023",D8:4,Gina has new offers and promotions in her online store to attract new customers.,supported,0,Turn D8:4 clearly states Gina has new offers and promotions in her online store to attract new customers.,,
conv-26,caroline#29,Caroline,person,13,"23 August, 2023",D13:3,Caroline has a guinea pig named Oscar,supported,0,Turn D13:3 clearly states Caroline has a guinea pig named Oscar.,,
conv-47,charity-event#1,Charity event,event,10,"8 May, 2022",D10:4,John's tournament for CS:GO raised money for charity.,supported,0,Turn [D10:4] clearly states John organized a CS:GO tournament that raised money for charity.,,
conv-43,tim#19,Tim,person,18,"16 November, 2023",D18:3,Tim's week has been swamped with exams,supported,0,"Turn [D18:3] explicitly states Tim's week has been swamped with exams, matching the entry exactly.",,
conv-47,john#4,John,person,2,"20 March, 2022",D2:18,John wants a pet but feels he is not ready for one yet.,supported,0,Turn [D2:18] clearly states John wants a pet but feels he is not ready yet.,,
conv-47,charity-event#13,Charity event,event,29,"31 October, 2022",D29:1,"John held a gaming tournament with his buddies last night, raising money for a children's hospital.",supported,0,Turn [D29:1] clearly states John held a gaming tournament with his buddies last night raising money for a children's hospital.,,
conv-50,music#1,Music,topic,11,"21 July, 2023",D11:6,Calvin has been experimenting with different music genres and adding electronic elements to his songs.,supported,0,Turn [D11:6] explicitly states Calvin experimenting with different genres and adding electronic elements to his songs.,,
conv-43,fantasy-literature#11,Fantasy literature,topic,22,"8 December, 2023",D22:7,Tim is reading a series about the power of friendship and loyalty.,supported,0,Turn D22:7 clearly states Tim is reading a series about the power of friendship and loyalty.,,
conv-49,health-advice#18,Health advice,topic,10,"11 September, 2023",D10:6,"Sam's cravings for sugary treats are usually triggered by stress, boredom, or wanting comfort",supported,0,"Turn D10:6 explicitly states Sam's cravings are triggered by stress, boredom, or wanting comfort.",,
conv-44,audrey#29,Audrey,person,15,"16 August, 2023",D15:3,Audrey plans to bring her dogs to the vet one by one next time.,supported,0,Turn D15:3 clearly states Audrey plans to bring her dogs to the vet one by one next time due to the havoc caused by taking them all together.,,
conv-48,deborah#9,Deborah,person,2,"27 January, 2023",D2:7,Deborah values love and openness in her relationship with her husband.,supported,0,Turn D2:7 explicitly states Deborah values love and openness in her relationship with her husband.,,
conv-41,john#6,John,person,3,"1 January, 2023",D3:3,"John has been inspired by sharing stories, advice, and encouragement with the group.",supported,0,"Turn [D3:3] explicitly states John finds sharing stories, advice, and encouragement inspiring.",,
conv-26,lgbtq-support-group#25,LGBTQ support group,event,15,"28 August, 2023",D15:11,Caroline is looking forward to a talent show for the kids at the LGBTQ+ youth center next month.,supported,0,Turn D15:11 clearly states Caroline is looking forward to a talent show for the kids next month.,,
conv-30,gina#7,Gina,person,2,"29 January, 2023",D2:15,Gina and Jon are determined to chase their dreams and make them happen,supported,0,Turn [D2:15] clearly shows Gina expressing determination to chase dreams and make goals happen.,,
conv-42,video-game-tournament#8,Video game tournament,event,14,"3 June, 2022",D14:8,Nate won another regional video game tournament last week.,supported,0,Turn [D14:8] explicitly states Nate won another regional video game tournament last week.,,
conv-44,rock-climbing#2,Rock climbing,event,8,"13 June, 2023",D8:3,Andrew shared a photo of the view from the top of the rock climbed during the rock climbing class.,partially,0,"The photo is shared in the same turn as Andrew's statement, but the image description mentions a man climbing, not the view from the top; the view photo is implied but not explicitly stated in the cited turns.",,
conv-43,motivation#11,Motivation,topic,23,"11 December, 2023",D23:14,Tim and John both believe they have a lot of potential and should support each other on their journey towards their dreams.,partially,0,"The cited turn supports the belief in potential and mutual support, but the idea that both believe this is mutual is implied rather than explicitly stated and could be supported by other turns as well.",,
conv-41,self-care#3,Self-care,topic,18,"12 June, 2023",D18:15,Maria finds her Zen through a mix of moments to herself and favorite tunes.,supported,0,Turn D18:15 clearly states Maria finds her Zen through moments to herself and favorite tunes.,,
conv-50,boston#8,Boston,topic,17,"2 September, 2023",D17:10,Calvin will contact Dave when he arrives in Boston.,supported,0,Turn D17:10 explicitly states Calvin will contact Dave when he arrives in Boston.,,
conv-44,volunteering#1,Volunteering,event,13,"27 July, 2023",D13:1,"Andrew and his girlfriend volunteered at a pet shelter on Monday, 24 July 2023.",partially,0,The cited turn confirms Andrew and his girlfriend volunteered at a pet shelter on Monday but does not specify the date as 24 July 2023.,,
conv-30,dance-festival#2,Dance festival,event,1,"20 January, 2023",D1:26,Jon's group will perform at the festival and has been practicing hard.,supported,0,Turn [D1:26] explicitly states Jon's group is performing at the festival and has been practicing hard.,,
conv-30,jon#8,Jon,person,6,"16 March, 2023",D6:11,Jon is starting his own business after losing his job.,supported,0,Turn D6:11 clearly states Jon lost his job and is starting his own business.,,
conv-48,robotics-project#2,Robotics project,topic,3,"1 February, 2023",D3:3,Jolene felt a mix of emotions - excited and nervous - when she first received the robotics project.,supported,0,Turn [D3:3] explicitly states Jolene felt excited and nervous when she first received the project.,,
conv-50,calvin#10,Calvin,person,4,"1 May, 2023",D4:26,Calvin received a gold necklace with a diamond pendant as a gift from another artist.,supported,0,Turn D4:26 clearly states Calvin received the necklace as a gift from another artist.,,
conv-49,evan#70,Evan,person,23,"6 January, 2024",D23:5,Evan believes family support is important and comforting.,supported,0,Turn D23:5 explicitly states Evan values family support as important and comforting.,,
conv-50,calvin#23,Calvin,person,12,"3 August, 2023",D12:1,Calvin took his Ferrari for a service and found it stressful.,supported,0,Turn [D12:1] clearly states Calvin took his Ferrari for a service and found it stressful.,,
conv-26,caroline#20,Caroline,person,8,"15 July, 2023",D8:19,Caroline felt accepted and happy at the pride parade,supported,0,Turn D8:19 explicitly states Caroline felt accepted and happy at the pride parade.,,
conv-30,dance-festival#1,Dance festival,event,1,"20 January, 2023",D1:24,Jon's group is finishing up choreography to perform at a nearby festival next month.,supported,0,Turn [D1:24] explicitly states Jon's group is finishing choreography for a nearby festival next month.,,
conv-41,yoga#5,Yoga,topic,10,"7 April, 2023",D10:7,John feels more connected and relaxed after yoga sessions.,supported,0,Turn [D10:7] explicitly states John feels relaxed and more connected after yoga sessions.,,
conv-26,pottery#2,Pottery,topic,5,"3 July, 2023",D5:8,Melanie made a bowl with a black and white flower design in her pottery class.,partially,0,"Turn [D5:8] confirms Melanie made the bowl in her class but does not mention the black and white flower design, which is stated in turn [D5:6] not cited.",,
conv-48,coffee-date#2,Coffee date,event,26,"8 September, 2023",D26:12,Jolene suggested meeting on Wednesday at 4 for coffee.,supported,0,Turn D26:12 clearly shows Jolene suggesting Wednesday at 4 for coffee.,,
conv-30,motivation#4,Motivation,topic,16,"21 June, 2023",D16:11,Gina believes tracking plans and goals is key to progress.,supported,0,Turn [D16:11] has Gina stating that tracking plans and goals is key to progress.,,
conv-48,aquarium#1,Aquarium,event,14,"26 June, 2023",D14:4,Jolene bought a new aquarium two days before this conversation.,supported,0,"Turn D14:4 clearly states Jolene bought the aquarium the day before yesterday, matching the entry's claim.",,
conv-26,lgbtq-support-group#14,LGBTQ support group,event,9,"17 July, 2023",D9:6,Caroline is mentoring a transgender teen.,supported,0,"Turn [D9:6] explicitly states Caroline mentors a transgender teen, matching the entry exactly.",,
conv-49,cooking#7,Cooking,topic,23,"6 January, 2024",D23:20,Sam shared a photo of a pie with raspberries and limes on top from his cousin's wedding.,partially,0,The cited turn states the photo is from Sam's cousin's wedding but does not mention the pie with raspberries and limes; that detail is from turn D23:18 which is not cited.,,
conv-42,joanna#17,Joanna,person,8,"17 April, 2022",D8:14,Joanna loves Nate's turtles.,supported,0,Turn [D8:14] explicitly states Joanna loves Nate's turtles.,,
conv-44,rock-climbing#3,Rock climbing,event,8,"13 June, 2023",D8:4,Audrey thinks the view from the top of the rock climbing class is stunning and congratulated Andrew on reaching the top.,supported,0,Turn D8:4 has Audrey saying the view is stunning and congratulating Andrew on reaching the top.,,
conv-26,miscellaneous#1,Miscellaneous,event,4,"27 June, 2023",D4:8,"During the camping trip, Melanie's family explored nature, roasted marshmallows, and went on a hike.",supported,0,"Turn D4:8 explicitly states Melanie's family explored nature, roasted marshmallows, and went on a hike during the camping trip.",,
conv-26,melanie#29,Melanie,person,13,"23 August, 2023",D13:4,Melanie has a cat named Bailey,supported,0,Turn D13:4 explicitly states Melanie has another cat named Bailey.,,
conv-30,fashion-internship#2,Fashion internship,event,12,"27 May, 2023",D12:3,Gina's fashion internship is a part-time position in the fashion department of an international company,supported,0,"Turn [D12:3] clearly states the internship is part-time in the fashion department of an international company, matching the entry.",,
conv-42,video-game-tournament#3,Video game tournament,event,2,"23 January, 2022",D2:16,Nate enjoys hanging out with people outside of his circle at the tournament.,supported,0,Turn D2:16 clearly states Nate hangs out with people outside his circle at the tournament.,,
conv-43,basketball-game#5,Basketball game,event,3,"16 July, 2023",D3:19,John is excited for his game in Seattle next month.,supported,0,Turn D3:19 clearly states John is excited for his game in Seattle next month.,,
conv-42,nate#39,Nate,person,19,"22 August, 2022",D19:3,Nate's fish got a new tank.,supported,0,"Turn [D19:3] clearly states Nate's fish got a new tank, matching the entry exactly.",,
conv-41,community-service#12,Community service,event,9,"2 April, 2023",D9:12,John believes it is important to put words into action and find solutions to community issues.,supported,0,Turn D9:12 explicitly states John's belief in putting words into action and finding solutions to community issues.,,
